NAME,WIDTH,PRICE,POWER,GRASS,AREA,DESCRIPTION
Worx IOQ628,37.0,18000.0,1.05,25.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Boch BIY341,34.0,,1.3,45.0,200.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Wolf NDI414,39.0,15000.0,0.85,35.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Cooper KHW476,39.0,9000.0,1.75,75.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Wolf QOF723,39.0,301423.0,1.65,70.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Worx NCC616,41.0,19000.0,0.75,50.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Gardez GJI429,39.0,11000.0,1.2,70.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Nakita BIZ632,42.0,21000.0,1.9,75.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Gardez ZGF197,37.0,37000.0,1.2,75.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Nakita HGH244,40.0,45000.0,1.2,35.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Wolf KFM252,32.0,24000.0,1.45,70.0,250.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Champion ZBV359,37.0,40000.0,0.75,35.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Bear NQT929,39.0,36000.0,1.35,65.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Boch OKG494,,31000.0,1.8,55.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Wolf JIA746,44.0,25000.0,1.1,45.0,550.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Worx YYN213,34.0,34000.0,1.35,40.0,400.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Cooper ANR691,35.0,9000.0,1.05,35.0,200.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Wolf SLJ318,37.0,31000.0,1.4,30.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Boch EGG991,41.0,29000.0,1.5,30.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Cooper BNP425,42.0,30000.0,1.8,65.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Cooper HCC488,42.0,19000.0,0.9,25.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Boch DQW949,39.0,38000.0,1.8,55.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Champion GPZ863,37.0,12000.0,1.55,40.0,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Nakita QCG726,36.0,8000.0,0.8,60.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Nakita SGF955,32.0,655158.0,0.8,50.0,200.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Boch XUE846,37.0,19000.0,1.65,60.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Gardez ZLM938,37.0,8000.0,1.35,55.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Bear ITT452,36.0,22000.0,0.8,75.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Champion VLT155,41.0,35000.0,1.15,45.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Gardez HMT244,41.0,10000.0,1.55,60.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Worx JGX719,,16000.0,0.8,40.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Wolf SWG241,43.0,32000.0,1.75,60.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Cooper FWL648,33.0,24000.0,1.9,25.0,450.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Gardez QCT579,36.0,48000.0,1.3,65.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Cooper TEC566,30.0,21000.0,1.75,65.0,200.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Cooper AOX495,,11000.0,1.05,55.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Wolf VJD224,42.0,29000.0,1.85,65.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Gardez KDT913,37.0,31000.0,1.7,70.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Bear BYO236,34.0,44000.0,0.85,75.0,600.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Boch QYY743,39.0,40000.0,1.7,40.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Nakita NBZ855,33.0,39000.0,1.65,65.0,200.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Cooper IXB887,43.0,23000.0,1.25,35.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Nakita WQS738,35.0,39000.0,1.25,70.0,400.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Boch FAQ593,40.0,17000.0,1.15,75.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Bear REF313,37.0,40000.0,0.75,75.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Worx JWC824,33.0,39000.0,0.75,35.0,600.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Gardez ZFH797,35.0,47000.0,1.35,25.0,300.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Bear LFF857,35.0,29000.0,1.75,45.0,300.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Worx ECW324,37.0,34000.0,0.8,45.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Boch ARB816,44.0,23000.0,1.05,40.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Worx QCL446,,48000.0,1.0,40.0,600.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Nakita SZC592,30.0,25000.0,1.7,55.0,350.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Cooper OHR775,32.0,16000.0,0.95,65.0,550.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Nakita CRI325,41.0,10000.0,1.9,40.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Worx EZP988,,25000.0,0.95,35.0,550.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Wolf MTF674,31.0,20000.0,0.75,70.0,350.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Cooper GUI512,44.0,41000.0,1.7,40.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Bear JZA697,41.0,27000.0,0.85,70.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Worx UDS888,39.0,14000.0,1.2,60.0,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Bear OZN633,42.0,11000.0,1.95,70.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Wolf HJN611,42.0,26000.0,0.75,70.0,550.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Champion QDB445,32.0,34000.0,1.8,60.0,300.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Bear KSJ188,40.0,11000.0,1.0,55.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Cooper ISG511,43.0,10000.0,1.1,55.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Cooper YYV119,33.0,16000.0,1.95,70.0,350.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Worx HLY833,39.0,16000.0,1.2,45.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Champion IQL593,36.0,10000.0,1.05,40.0,,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Boch PPM852,33.0,9000.0,1.5,30.0,450.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Cooper NND135,41.0,40000.0,1.55,25.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Nakita FMR162,44.0,38000.0,1.55,25.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Worx VNQ344,36.0,41000.0,1.15,35.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Worx EMS346,31.0,41000.0,1.8,60.0,350.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Bear JKH946,39.0,43000.0,1.25,55.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Cooper JYS229,31.0,36000.0,1.0,40.0,400.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Wolf AEV125,,10000.0,1.9,,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Gardez NFV171,34.0,37000.0,0.85,35.0,600.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Worx ITY491,30.0,38000.0,1.75,50.0,200.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Bear OEZ441,40.0,16000.0,1.4,40.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Bear KTD752,32.0,26000.0,1.9,25.0,350.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Nakita ATG134,31.0,38000.0,1.15,45.0,250.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Gardez MCQ196,40.0,36000.0,1.35,45.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Champion DUO655,42.0,15000.0,1.95,70.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Wolf QXZ964,31.0,18000.0,0.75,50.0,400.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Worx QQN285,,28000.0,1.55,25.0,450.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Worx FXP214,40.0,21000.0,1.4,70.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Champion UBR561,32.0,48000.0,1.65,45.0,400.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Wolf KXA999,41.0,,1.05,70.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Bear YAV944,32.0,24000.0,1.5,55.0,550.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Cooper KBF526,41.0,27000.0,1.5,35.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Boch CJB382,32.0,32000.0,1.0,70.0,250.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Worx UTR966,41.0,9000.0,0.75,30.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Nakita AEV719,,743463.0,1.55,60.0,400.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Boch WIX213,41.0,28000.0,0.8,30.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Bear RBB398,33.0,40000.0,1.05,75.0,450.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Wolf ZKL533,36.0,31000.0,1.8,65.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Gardez AQP234,37.0,37000.0,1.2,25.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Gardez OFR312,35.0,28000.0,1.45,25.0,200.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Worx IGI227,44.0,30000.0,1.9,70.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Champion EMQ445,36.0,38000.0,0.8,50.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Bear QAO719,35.0,11000.0,1.2,55.0,350.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Nakita DBM924,42.0,40000.0,1.35,50.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
